,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018,KOKB 09/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,78,61,77,54,2010,91,2017,0.00,0.02,0.00,2006,
3,2,70,79,61,77,52,2012,92,2017,0.00,0.01,0.00,2006,
4,3,68,78,61,77,53,2000,93,2007,T,0.02,T,2017,
5,4,62,75,61,77,51,2000,88,2012,0.00,0.01,T,2011,
6,5,61,79,61,77,50,2000,101,2004,0.00,0.02,0.01,2010,
7,6,58,77,61,77,47,2005,94,2011,0.00,0.01,0.03,2002,
8,7,63,77,61,77,52,2000,88,2014,0.00,0.02,0.00,2006,
9,8,63,79,60,77,55,2002,89,2015,0.00,0.02,T,2017,
10,9,M,M,60,77,52,2000,95,2015,0.00,0.01,0.05,2012,
11,10,M,M,60,77,48,2000,98,2015,0.00,0.01,T,2010,
12,11,61,75,60,77,46,2000,90,2015,0.00,0.00,0.00,2006,
13,12,58,77,60,77,50,2011,90,2015,0.00,0.00,0.00,2006,
14,13,54,78,60,77,54,2018,85,2015,0.00,0.00,0.00,2006,
15,14,55,80,60,77,52,2005,97,2012,0.00,0.01,0.01,2007,
16,15,59,80,59,77,50,2016,101,2012,0.00,0.00,1.14,2015,
17,16,56,79,59,77,49,2016,100,2014,0.00,0.00,T,2006,
18,17,57,79,59,77,49,2006,91,2014,0.00,0.01,T,2017,
19,18,54,77,59,77,47,2006,84,2006,0.00,0.00,0.00,2006,
20,19,59,75,59,76,48,2006,82,2015,0.00,0.01,0.00,2006,
21,20,60,73,59,76,50,2007,94,2015,0.00,0.00,0.18,2016,
22,21,54,74,58,76,46,2007,90,2004,0.00,0.00,0.06,2016,
23,22,62,76,58,76,49,2004,89,2004,0.00,0.01,0.13,2007,
24,23,64,77,58,76,49,2017,93,2009,0.00,0.00,0.01,2007,
25,24,66,69,58,76,48,2017,88,2009,0.00,0.01,0.00,2006,
26,25,65,73,58,76,48,2017,91,2016,0.00,0.01,0.01,2010,
27,26,59,73,57,76,47,2017,104,2016,0.00,0.00,0.01,2007,
28,27,58,74,57,76,47,2013,105,2010,0.00,0.01,0.01,2006,
29,28,65,74,57,76,45,2005,90,2016,0.00,0.01,0.05,2007,
30,29,58,74,57,75,46,2013,92,1999,0.00,0.00,0.24,2002,
31,30,56,78,56,75,46,2013,87,2008,0.00,0.01,T,2009,
32,Average:,60.3,76.3,59.2,76.5,,,,,Total: 0.00,Total: 0.24,,,
