,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015,KSDM 02/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,75,45,65,32,2002,81,2003,0.00,0.05,0.33,1960,
3,2,46,75,45,65,33,2002,82,2009,0.00,0.05,0.23,1960,
4,3,45,75,45,65,32,1955,84,2009,0.00,0.05,0.75,1958,
5,4,45,72,45,65,34,2011,84,2001,0.00,0.05,1.15,1958,
6,5,47,76,45,65,30,1955,90,2007,0.00,0.06,0.27,2010,
7,6,48,81,45,65,34,1955,86,2006,0.00,0.05,0.46,2010,
8,7,40,75,45,65,37,2002,86,2006,0.00,0.06,0.62,2009,
9,8,50,78,45,65,39,2002,89,2006,0.00,0.08,1.05,1959,
10,9,49,71,45,65,35,1956,81,2006,0.00,0.08,0.45,2009,
11,10,44,72,45,65,38,2009,77,2008,0.00,0.07,0.40,1960,
12,11,50,88,45,65,35,2011,88,2015,0.00,0.09,0.98,2005,
13,12,54,85,46,66,33,1946,88,2006,0.00,0.08,0.86,2005,
14,13,54,84,46,66,37,1959,84,2015,0.00,0.08,0.83,2001,
15,14,55,86,46,66,38,2008,86,2015,0.00,0.09,0.36,2008,
16,15,51,79,46,66,34,2008,80,2014,0.00,0.08,0.01,1959,
17,16,50,70,46,66,35,1956,78,2010,0.00,0.09,0.81,2009,
18,17,51,68,46,66,33,1956,85,2007,0.00,0.08,0.22,1955,
19,18,48,69,46,66,38,2009,72,2007,0.00,0.09,0.58,2011,
20,19,53,68,46,66,36,1956,73,2009,0.00,0.09,1.56,2007,
21,20,57,67,46,66,36,1955,81,2014,0.00,0.09,0.55,2000,
22,21,58,67,46,66,36,1955,88,2002,0.00,0.10,1.76,2000,
23,22,54,64,46,66,38,2011,93,2002,0.20,0.09,2.36,2004,
24,23,51,64,46,66,34,1955,75,1961,0.13,0.09,0.73,2001,
25,24,44,67,46,66,39,2007,74,1961,0.00,0.09,0.14,2008,
26,25,44,70,46,66,34,1960,73,2006,0.00,0.09,0.51,2001,
27,26,45,67,46,66,35,2013,80,2006,0.00,0.09,1.18,2011,
28,27,47,68,46,66,36,1956,79,2008,T,0.08,1.04,2010,
29,28,53,65,46,67,36,2011,82,2009,0.03,0.07,0.64,2006,
30,Average:,49.2,73.1,45.6,65.6,,,,,Total: 0.36,Total: 2.16,,,
